"Year","Fixed Telephone Subs","Fixed Telephone Penetration","Fixed Broadband Subs","Fixed Broadband Penetration","Mobile Telephone Subs","Mobile Telephone Penetration","Mobile Broadband Subs","Mobile Broadband Penetration"
"2,010","283941","71.00","52,630","13.00","4,606,133","166.00","734,091","26.00"
"2,011","287323","71.00","78,217","19.00","4,809,248","173.00","1,076,254","39.00"
"2,012","304545","76.00","113,324","28.00","5,277,591","160.00","1,646,098","59.00"
"2,013","351411","87.00","154,290","38.00","5,617,426","155.00","2,443,296","67.00"
"2,014","375196","93.00","177,063","44.00","6,194,169","155.00","2,893,561","72.00"
"2,015","434932","76.00","233,193","41.00","6,646,674","154.00","3,253,949","76.00"
"2,016","422518","73.00","266,983","46.00","6,866,260","151.00","3,937,861","87.00"
"2,017","509756","87.00","348,926","60.00","6,943,910","152.00","4,351,583","95.00"
"2,018","560326","95.80","422,035","72.20","6,440,889","141.20","4,113,348","90.20"
"2,019","592196","89.50","473,070","71.50","6,383,458","138.20","5,038,782","109.10"
"2,020","594550","84.70","508,949","72.50","6,276,535","140.40","5,385,553","120.50"
"2,021","572166","81.47","524,518","74.70","6,115,537","136.80","5,097,547","114.00"
